year,days_ge_25_0c,days_ge_25_5c,days_ge_26_0c,days_ge_26_5c,days_ge_27_0c,days_ge_27_5c,days_ge_28_0c,days_ge_28_5c,days_ge_29_0c,days_ge_29_5c,days_ge_30_0c,days_ge_30_5c,days_ge_31_0c,days_ge_31_5c,days_ge_32_0c,days_ge_32_5c,days_ge_33_0c,days_ge_33_5c,days_ge_34_0c,days_ge_34_5c,days_ge_35_0c,days_ge_35_5c,days_ge_36_0c,days_ge_36_5c,days_ge_37_0c,days_ge_37_5c,days_ge_38_0c,days_ge_38_5c,days_ge_39_0c,days_ge_39_5c,days_ge_40_0c,days_ge_40_5c,days_ge_41_0c,days_ge_41_5c,days_ge_42_0c,days_ge_25_0c__no_airports,days_ge_25_5c__no_airports,days_ge_26_0c__no_airports,days_ge_26_5c__no_airports,days_ge_27_0c__no_airports,days_ge_27_5c__no_airports,days_ge_28_0c__no_airports,days_ge_28_5c__no_airports,days_ge_29_0c__no_airports,days_ge_29_5c__no_airports,days_ge_30_0c__no_airports,days_ge_30_5c__no_airports,days_ge_31_0c__no_airports,days_ge_31_5c__no_airports,days_ge_32_0c__no_airports,days_ge_32_5c__no_airports,days_ge_33_0c__no_airports,days_ge_33_5c__no_airports,days_ge_34_0c__no_airports,days_ge_34_5c__no_airports,days_ge_35_0c__no_airports,days_ge_35_5c__no_airports,days_ge_36_0c__no_airports,days_ge_36_5c__no_airports,days_ge_37_0c__no_airports,days_ge_37_5c__no_airports,days_ge_38_0c__no_airports,days_ge_38_5c__no_airports,days_ge_39_0c__no_airports,days_ge_39_5c__no_airports,days_ge_40_0c__no_airports,days_ge_40_5c__no_airports,days_ge_41_0c__no_airports,days_ge_41_5c__no_airports,days_ge_42_0c__no_airports,days_ge_25_0c__no_cities,days_ge_25_5c__no_cities,days_ge_26_0c__no_cities,days_ge_26_5c__no_cities,days_ge_27_0c__no_cities,days_ge_27_5c__no_cities,days_ge_28_0c__no_cities,days_ge_28_5c__no_cities,days_ge_29_0c__no_cities,days_ge_29_5c__no_cities,days_ge_30_0c__no_cities,days_ge_30_5c__no_cities,days_ge_31_0c__no_cities,days_ge_31_5c__no_cities,days_ge_32_0c__no_cities,days_ge_32_5c__no_cities,days_ge_33_0c__no_cities,days_ge_33_5c__no_cities,days_ge_34_0c__no_cities,days_ge_34_5c__no_cities,days_ge_35_0c__no_cities,days_ge_35_5c__no_cities,days_ge_36_0c__no_cities,days_ge_36_5c__no_cities,days_ge_37_0c__no_cities,days_ge_37_5c__no_cities,days_ge_38_0c__no_cities,days_ge_38_5c__no_cities,days_ge_39_0c__no_cities,days_ge_39_5c__no_cities,days_ge_40_0c__no_cities,days_ge_40_5c__no_cities,days_ge_41_0c__no_cities,days_ge_41_5c__no_cities,days_ge_42_0c__no_cities,days_ge_25_0c__no_airports_no_cities,days_ge_25_5c__no_airports_no_cities,days_ge_26_0c__no_airports_no_cities,days_ge_26_5c__no_airports_no_cities,days_ge_27_0c__no_airports_no_cities,days_ge_27_5c__no_airports_no_cities,days_ge_28_0c__no_airports_no_cities,days_ge_28_5c__no_airports_no_cities,days_ge_29_0c__no_airports_no_cities,days_ge_29_5c__no_airports_no_cities,days_ge_30_0c__no_airports_no_cities,days_ge_30_5c__no_airports_no_cities,days_ge_31_0c__no_airports_no_cities,days_ge_31_5c__no_airports_no_cities,days_ge_32_0c__no_airports_no_cities,days_ge_32_5c__no_airports_no_cities,days_ge_33_0c__no_airports_no_cities,days_ge_33_5c__no_airports_no_cities,days_ge_34_0c__no_airports_no_cities,days_ge_34_5c__no_airports_no_cities,days_ge_35_0c__no_airports_no_cities,days_ge_35_5c__no_airports_no_cities,days_ge_36_0c__no_airports_no_cities,days_ge_36_5c__no_airports_no_cities,days_ge_37_0c__no_airports_no_cities,days_ge_37_5c__no_airports_no_cities,days_ge_38_0c__no_airports_no_cities,days_ge_38_5c__no_airports_no_cities,days_ge_39_0c__no_airports_no_cities,days_ge_39_5c__no_airports_no_cities,days_ge_40_0c__no_airports_no_cities,days_ge_40_5c__no_airports_no_cities,days_ge_41_0c__no_airports_no_cities,days_ge_41_5c__no_airports_no_cities,days_ge_42_0c__no_airports_no_cities
1973,111,105,97,89,77,69,61,57,52,47,39,35,27,25,21,15,11,8,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,103,97,89,77,68,61,57,52,47,39,35,27,25,21,15,11,8,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,103,97,88,77,68,61,56,52,46,39,35,27,24,20,15,11,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,102,97,88,77,68,61,56,52,46,39,35,27,24,20,15,11,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,84,74,67,60,50,48,38,30,25,23,18,14,12,10,10,8,6,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,84,74,66,58,49,47,36,29,25,23,18,14,11,10,10,8,6,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,84,73,66,58,50,48,37,30,25,23,18,14,12,10,10,8,6,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,84,73,65,56,49,46,36,29,25,23,18,14,11,10,10,8,6,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0
1975,105,102,96,81,74,68,67,62,54,49,40,35,28,21,19,15,14,13,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,100,93,81,74,68,67,62,54,49,40,35,28,21,19,15,14,13,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,100,92,81,74,67,65,61,53,48,39,34,28,21,19,15,14,13,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,99,90,81,74,67,65,61,53,48,39,34,28,21,19,15,14,13,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,107,98,92,89,85,78,70,66,56,48,45,41,35,32,25,22,20,19,17,16,14,12,9,6,6,3,2,1,0,0,0,0,0,0,0,107,98,92,89,85,78,69,65,54,48,45,40,35,32,24,22,20,19,17,16,14,12,9,6,6,3,2,1,0,0,0,0,0,0,0,107,98,92,88,85,78,70,64,55,48,45,41,35,31,23,22,20,19,17,16,14,12,9,6,5,3,2,1,0,0,0,0,0,0,0,107,98,92,88,85,78,69,64,54,48,45,40,35,31,23,22,20,19,17,16,14,12,9,6,5,3,2,1,0,0,0,0,0,0,0
1977,83,75,68,62,53,46,37,34,26,19,14,11,7,6,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,75,68,61,52,46,37,34,25,18,14,11,7,6,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,74,67,61,52,45,37,33,24,19,13,9,5,5,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,74,67,61,51,45,37,33,23,18,13,9,5,5,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,74,65,55,44,37,33,29,26,24,18,16,12,10,7,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,63,53,43,37,33,29,26,24,18,15,12,10,7,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,63,53,44,37,33,29,26,23,17,16,11,10,7,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,62,52,43,37,33,29,26,23,17,15,11,10,7,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,104,98,91,82,71,64,53,45,38,35,26,22,19,16,11,11,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,96,90,80,70,60,52,45,38,35,26,22,19,15,11,10,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,98,90,80,71,63,51,45,38,35,25,22,19,16,10,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,96,89,79,70,59,50,45,38,35,25,22,19,15,10,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,71,66,58,50,44,40,38,30,27,19,12,9,8,5,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,65,57,50,43,40,37,30,26,19,12,8,8,5,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,66,58,50,43,40,38,30,27,18,12,8,7,5,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,65,57,50,42,40,37,30,26,18,12,7,7,5,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,94,87,76,69,63,57,47,39,33,30,27,25,19,14,10,8,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,87,75,69,63,57,47,39,33,30,27,25,19,14,10,8,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,87,74,67,63,56,47,39,33,30,27,25,18,14,10,8,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,87,73,67,63,56,47,39,33,30,27,25,18,14,10,8,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,111,101,99,91,88,77,74,69,59,53,45,41,35,29,28,23,15,8,7,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,111,101,98,91,88,77,74,69,59,53,45,41,35,29,28,23,15,8,7,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,109,101,98,90,87,77,74,69,59,52,45,41,33,29,27,20,14,7,7,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,109,101,98,90,87,77,74,68,59,52,45,41,33,29,27,20,14,7,7,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1983,108,106,97,92,87,81,77,71,66,62,58,54,48,39,32,29,24,19,18,13,10,6,5,4,4,4,3,2,2,2,1,0,0,0,0,108,106,97,92,87,81,77,71,66,62,58,54,48,39,32,29,24,19,18,13,10,6,5,4,4,4,3,2,2,2,1,0,0,0,0,108,106,97,92,85,79,76,70,64,62,57,53,47,38,31,29,24,18,16,12,10,6,5,4,4,4,3,2,2,2,1,0,0,0,0,108,106,97,92,85,79,76,70,64,62,57,53,47,38,31,29,24,18,16,12,10,6,5,4,4,4,3,2,2,2,1,0,0,0,0
1984,81,71,66,58,52,45,40,37,33,25,19,15,14,11,9,8,8,7,6,5,4,4,2,1,1,1,1,0,0,0,0,0,0,0,0,81,71,66,58,52,45,40,37,33,25,19,15,14,11,9,8,8,7,6,5,4,4,2,1,1,1,1,0,0,0,0,0,0,0,0,81,70,65,58,50,44,40,37,32,25,18,15,13,10,8,8,8,7,6,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,81,70,65,58,50,44,40,37,32,25,18,15,13,10,8,8,8,7,6,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0
1985,111,100,88,77,71,66,60,53,45,39,34,29,22,16,11,7,6,5,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,111,100,88,76,71,66,60,53,45,39,34,29,22,15,11,7,6,5,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,110,99,88,76,70,65,59,52,45,37,31,27,19,13,10,7,6,5,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,110,99,88,76,70,65,59,52,45,37,31,27,19,12,10,7,6,5,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0
1986,94,86,82,74,70,65,59,53,49,46,38,34,29,21,16,14,8,8,5,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,94,86,82,74,70,65,59,53,49,46,38,34,29,21,16,14,8,8,5,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,94,85,80,71,68,65,59,53,48,46,37,33,27,20,16,13,7,7,5,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,94,85,80,71,68,65,59,53,48,46,37,33,27,20,16,13,7,7,5,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0
1987,91,81,76,68,60,53,51,45,40,33,28,24,19,12,11,7,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,81,76,68,60,53,51,45,40,33,28,24,19,12,11,7,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,81,75,67,59,52,51,44,40,32,28,24,18,11,10,7,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,81,75,67,59,52,51,44,40,32,28,24,18,11,10,7,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,101,94,86,77,62,56,47,40,35,30,26,23,19,13,9,8,8,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,94,86,76,62,56,47,40,35,30,26,22,19,13,9,8,8,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,93,84,73,60,55,45,39,35,30,25,21,18,13,9,8,8,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,93,84,73,60,55,45,39,35,30,25,21,18,13,9,8,8,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,118,110,103,95,89,81,73,59,49,43,32,27,22,20,18,13,12,9,6,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,118,110,103,94,89,80,73,59,49,43,32,27,22,20,18,13,12,9,6,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,117,108,101,94,88,80,70,57,48,40,32,25,20,19,16,13,11,8,5,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,117,108,101,93,88,79,70,57,48,40,32,25,20,19,16,13,11,8,5,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1990,99,90,85,80,74,65,61,54,47,43,38,33,29,23,20,19,14,10,9,8,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,99,90,85,80,74,65,61,53,47,43,38,33,29,23,20,19,14,10,9,8,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,97,89,85,80,74,63,61,54,47,41,38,33,29,23,20,19,14,10,9,8,6,5,3,2,2,1,0,0,0,0,0,0,0,0,0,97,89,85,80,74,63,61,53,47,41,38,33,29,23,20,19,14,10,9,8,6,5,3,2,2,1,0,0,0,0,0,0,0,0,0
1991,103,96,91,81,76,70,64,59,53,48,46,37,32,27,21,14,13,12,8,8,6,4,3,3,2,1,0,0,0,0,0,0,0,0,0,103,96,91,81,76,70,64,59,53,48,46,37,32,27,21,14,13,12,8,8,6,4,3,3,2,1,0,0,0,0,0,0,0,0,0,103,96,90,81,76,70,64,59,53,47,45,37,30,25,20,14,13,11,7,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,103,96,90,81,76,70,64,59,53,47,45,37,30,25,20,14,13,11,7,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0
1992,123,119,112,103,100,92,84,75,60,58,53,43,38,30,29,28,26,21,16,14,12,7,6,5,4,2,2,2,2,1,1,0,0,0,0,123,119,112,103,100,92,84,75,60,58,53,43,38,30,29,28,26,21,16,14,12,7,6,5,4,2,2,2,2,1,1,0,0,0,0,123,119,112,101,95,90,83,72,60,57,53,43,37,29,27,27,23,20,16,14,11,7,6,5,4,2,2,2,2,1,1,0,0,0,0,123,119,112,101,95,90,83,72,60,57,53,43,37,29,27,27,23,20,16,14,11,7,6,5,4,2,2,2,2,1,1,0,0,0,0
1993,104,97,90,85,81,72,68,52,46,38,33,28,26,20,13,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,97,90,85,81,72,68,52,46,38,33,28,26,20,13,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,97,89,83,78,71,68,52,46,37,33,27,26,19,12,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,97,89,83,78,71,68,52,46,37,33,27,26,19,12,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,98,91,88,80,76,69,62,56,50,49,48,47,43,41,41,36,31,28,23,20,16,13,11,9,5,4,3,2,1,1,0,0,0,0,0,98,91,88,80,76,69,62,56,50,49,48,47,43,41,41,36,31,28,23,20,16,13,11,9,5,4,3,2,1,1,0,0,0,0,0,97,90,88,80,76,69,62,56,49,49,48,47,43,41,40,35,30,27,22,18,16,13,11,9,5,4,3,1,1,1,0,0,0,0,0,97,90,88,80,76,69,62,56,49,49,48,47,43,41,40,35,30,27,22,18,16,13,11,9,5,4,3,1,1,1,0,0,0,0,0
1995,92,86,82,79,76,72,69,61,54,50,44,41,36,34,31,27,24,20,14,8,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,92,86,82,78,76,72,69,61,54,50,44,41,36,34,31,27,24,20,14,8,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,92,86,82,77,75,72,69,61,54,50,44,41,36,34,31,27,23,19,14,8,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,92,86,82,77,75,72,69,61,54,50,44,41,36,34,31,27,23,19,14,8,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0
1996,88,82,76,67,59,54,47,44,39,34,29,22,17,12,10,7,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,82,76,67,59,54,47,44,39,34,29,22,17,12,10,7,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,82,76,67,59,53,47,44,39,34,28,21,16,12,10,7,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,82,76,67,59,53,47,44,39,34,28,21,16,12,10,7,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,115,107,101,90,82,75,67,60,50,46,41,37,29,25,20,14,8,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114,107,101,90,82,75,67,60,50,46,41,37,29,25,20,14,8,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114,106,100,90,82,75,67,60,50,45,41,37,29,25,20,14,8,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114,106,100,90,82,75,67,60,50,45,41,37,29,25,20,14,8,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,94,85,79,71,68,62,58,53,46,38,31,29,28,23,21,20,17,12,10,9,8,7,6,6,5,4,4,1,1,0,0,0,0,0,0,94,84,79,71,68,62,58,53,46,38,31,29,28,23,21,20,17,12,10,9,8,7,6,6,5,4,4,1,1,0,0,0,0,0,0,93,84,78,71,68,62,58,53,46,37,31,29,28,23,21,19,16,11,10,9,8,7,6,6,5,4,4,1,1,0,0,0,0,0,0,93,84,78,71,68,62,58,53,46,37,31,29,28,23,21,19,16,11,10,9,8,7,6,6,5,4,4,1,1,0,0,0,0,0,0
1999,109,103,90,83,73,68,62,55,50,44,39,35,30,26,23,18,10,7,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,109,103,90,83,72,68,62,55,50,44,39,35,30,26,23,18,10,7,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,109,103,89,82,71,67,62,55,50,44,39,35,30,26,23,18,10,7,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,109,103,89,82,71,67,62,55,50,44,39,35,30,26,23,18,10,7,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,122,112,103,95,85,77,65,55,50,43,39,35,30,23,20,18,17,13,8,6,6,4,3,3,2,2,2,0,0,0,0,0,0,0,0,122,112,103,95,85,77,65,55,50,43,39,35,30,23,20,18,17,13,8,6,6,4,3,3,2,2,2,0,0,0,0,0,0,0,0,122,112,103,95,85,77,65,55,50,43,39,34,30,23,20,18,17,13,8,6,6,4,3,3,2,2,2,0,0,0,0,0,0,0,0,122,112,103,95,85,77,65,55,50,43,39,34,30,23,20,18,17,13,8,6,6,4,3,3,2,2,2,0,0,0,0,0,0,0,0
2001,104,95,90,82,71,63,56,53,51,44,42,38,35,32,27,22,16,14,13,9,7,5,5,3,1,0,0,0,0,0,0,0,0,0,0,104,95,90,82,71,63,56,53,50,44,42,38,35,32,27,22,16,14,13,9,7,5,5,3,1,0,0,0,0,0,0,0,0,0,0,104,95,90,81,71,63,56,53,51,44,42,38,35,31,26,22,16,14,12,9,7,5,4,3,1,0,0,0,0,0,0,0,0,0,0,104,95,90,81,71,63,56,53,50,44,42,38,35,31,26,22,16,14,12,9,7,5,4,3,1,0,0,0,0,0,0,0,0,0,0
2002,108,99,94,89,82,77,72,68,56,50,37,31,26,21,20,16,13,10,10,8,6,4,2,2,2,1,1,0,0,0,0,0,0,0,0,108,99,93,89,82,76,72,68,56,50,37,31,26,21,20,16,13,10,10,8,6,4,2,2,2,1,1,0,0,0,0,0,0,0,0,108,99,93,88,82,76,70,68,56,50,37,31,26,21,20,15,12,10,10,8,5,4,2,2,2,1,1,0,0,0,0,0,0,0,0,108,99,93,88,82,76,70,68,56,50,37,31,26,21,20,15,12,10,10,8,5,4,2,2,2,1,1,0,0,0,0,0,0,0,0
2003,129,126,120,116,110,107,104,100,97,90,84,80,71,62,49,44,40,33,30,27,24,22,17,16,14,12,11,10,8,7,4,2,1,0,0,129,126,119,115,110,107,104,100,97,90,84,80,71,62,48,44,40,33,30,27,24,22,17,16,14,12,11,10,8,7,4,2,1,0,0,129,126,119,116,109,106,104,100,96,90,84,80,71,61,49,44,40,33,30,27,24,22,17,16,14,12,11,10,8,7,4,2,1,0,0,129,126,119,115,109,106,104,100,96,90,84,80,71,61,48,44,40,33,30,27,24,22,17,16,14,12,11,10,8,7,4,2,1,0,0
2004,96,90,84,78,69,60,53,46,42,38,30,26,26,26,24,19,16,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,90,84,78,69,60,53,46,42,38,30,26,26,26,24,19,16,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,90,84,77,69,59,53,46,42,38,29,26,26,26,24,19,14,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,90,84,77,69,59,53,46,42,38,29,26,26,26,24,19,14,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,101,89,82,77,69,67,64,58,55,51,47,44,38,34,30,24,17,16,14,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,101,89,82,77,69,67,64,58,55,51,47,44,38,34,30,24,17,16,14,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,100,88,82,77,69,67,64,57,55,51,47,44,38,34,30,24,17,16,14,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,100,88,82,77,69,67,64,57,55,51,47,44,38,34,30,24,17,16,14,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2006,115,108,101,92,87,83,78,70,60,57,54,49,46,37,32,28,25,22,18,15,13,9,8,8,5,3,2,1,1,0,0,0,0,0,0,115,108,101,92,87,83,78,70,60,57,54,49,46,37,32,28,25,22,18,15,13,9,8,8,5,3,2,1,1,0,0,0,0,0,0,114,107,97,90,87,83,76,68,59,56,53,48,45,35,30,28,24,22,18,15,12,7,7,7,5,3,2,1,1,0,0,0,0,0,0,114,107,97,90,87,83,76,68,59,56,53,48,45,35,30,28,24,22,18,15,12,7,7,7,5,3,2,1,1,0,0,0,0,0,0
2007,109,102,98,91,84,74,62,58,51,45,37,33,28,23,17,12,11,7,4,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,109,102,98,91,84,74,62,58,51,45,37,33,28,23,17,12,11,7,4,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,107,102,98,91,82,74,62,58,51,45,36,33,28,23,15,12,11,7,4,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,107,102,98,91,82,74,62,58,51,45,36,33,28,23,15,12,11,7,4,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0
2008,108,101,94,87,80,71,67,57,50,43,39,37,32,27,24,23,15,10,8,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,101,94,87,79,71,67,57,50,43,39,37,32,27,24,23,15,10,8,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,101,94,87,79,71,67,57,50,43,39,37,32,27,24,23,15,10,8,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,101,94,87,79,71,67,57,50,43,39,37,32,27,24,23,15,10,8,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,120,111,102,87,73,66,59,56,49,45,43,36,31,24,18,14,12,10,7,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,120,111,102,87,73,66,59,55,49,45,43,36,31,24,18,14,12,10,7,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,120,111,102,87,73,66,59,56,49,45,43,36,31,24,17,14,12,10,7,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,120,111,102,87,73,66,59,55,49,45,43,36,31,24,17,14,12,10,7,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0
2010,91,88,74,67,61,58,51,51,49,45,41,37,32,27,24,18,15,13,10,9,9,9,7,6,6,3,3,2,1,0,0,0,0,0,0,91,86,74,67,61,58,51,51,49,45,41,36,32,27,24,18,15,13,10,9,9,9,7,6,6,3,3,2,1,0,0,0,0,0,0,91,88,74,67,61,58,51,51,49,45,41,37,32,27,24,18,15,12,10,9,9,9,7,6,5,3,3,2,1,0,0,0,0,0,0,91,86,74,67,61,58,51,51,49,45,41,36,32,27,24,18,15,12,10,9,9,9,7,6,5,3,3,2,1,0,0,0,0,0,0
2011,124,116,110,105,94,84,73,62,54,47,43,35,29,23,19,15,13,10,7,6,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,124,115,110,105,94,84,73,62,54,47,43,35,28,23,19,15,13,10,7,6,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,124,116,110,105,93,84,73,62,54,47,43,35,29,23,19,15,13,10,7,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,124,115,110,105,93,84,73,62,54,47,43,35,28,23,19,15,13,10,7,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0
2012,113,107,105,102,90,80,71,63,56,52,44,39,33,26,23,19,14,12,10,9,6,5,5,3,2,2,2,2,1,1,1,0,0,0,0,113,107,105,102,90,80,71,63,56,52,44,39,33,26,23,19,14,12,10,9,6,5,5,3,2,2,2,2,1,1,1,0,0,0,0,112,107,105,101,90,80,69,63,56,52,44,39,32,26,23,19,14,12,10,9,6,4,4,3,2,2,2,2,0,0,0,0,0,0,0,112,107,105,101,90,80,69,63,56,52,44,39,32,26,23,19,14,12,10,9,6,4,4,3,2,2,2,2,0,0,0,0,0,0,0
2013,106,102,96,85,77,62,58,50,48,43,36,34,31,28,24,23,20,19,15,14,12,9,8,4,4,3,2,1,0,0,0,0,0,0,0,106,102,96,85,77,62,57,50,47,43,36,34,31,28,24,23,20,18,15,14,12,9,8,4,4,3,2,1,0,0,0,0,0,0,0,106,102,96,85,77,62,57,50,48,43,36,34,31,28,24,23,20,19,15,14,12,9,8,4,4,3,2,1,0,0,0,0,0,0,0,106,102,96,85,77,62,56,50,47,43,36,34,31,28,24,23,20,18,15,14,12,9,8,4,4,3,2,1,0,0,0,0,0,0,0
2014,97,91,83,74,66,61,51,49,45,40,35,32,27,21,17,12,11,7,7,6,6,5,2,2,1,1,1,0,0,0,0,0,0,0,0,97,91,83,74,66,59,51,49,45,40,35,32,26,21,17,12,11,7,7,6,6,5,2,2,1,1,1,0,0,0,0,0,0,0,0,97,90,83,74,66,61,50,48,45,40,35,32,27,21,17,12,11,7,7,6,6,5,2,2,1,1,1,0,0,0,0,0,0,0,0,97,90,83,74,66,59,50,48,45,40,35,32,26,21,17,12,11,7,7,6,6,5,2,2,1,1,1,0,0,0,0,0,0,0,0
