year,days_ge_25_0c,days_ge_25_5c,days_ge_26_0c,days_ge_26_5c,days_ge_27_0c,days_ge_27_5c,days_ge_28_0c,days_ge_28_5c,days_ge_29_0c,days_ge_29_5c,days_ge_30_0c,days_ge_30_5c,days_ge_31_0c,days_ge_31_5c,days_ge_32_0c,days_ge_32_5c,days_ge_33_0c,days_ge_33_5c,days_ge_34_0c,days_ge_34_5c,days_ge_35_0c,days_ge_35_5c,days_ge_36_0c,days_ge_36_5c,days_ge_37_0c,days_ge_37_5c,days_ge_38_0c,days_ge_38_5c,days_ge_39_0c,days_ge_39_5c,days_ge_40_0c,days_ge_40_5c,days_ge_41_0c,days_ge_41_5c,days_ge_42_0c,days_ge_25_0c__no_airports,days_ge_25_5c__no_airports,days_ge_26_0c__no_airports,days_ge_26_5c__no_airports,days_ge_27_0c__no_airports,days_ge_27_5c__no_airports,days_ge_28_0c__no_airports,days_ge_28_5c__no_airports,days_ge_29_0c__no_airports,days_ge_29_5c__no_airports,days_ge_30_0c__no_airports,days_ge_30_5c__no_airports,days_ge_31_0c__no_airports,days_ge_31_5c__no_airports,days_ge_32_0c__no_airports,days_ge_32_5c__no_airports,days_ge_33_0c__no_airports,days_ge_33_5c__no_airports,days_ge_34_0c__no_airports,days_ge_34_5c__no_airports,days_ge_35_0c__no_airports,days_ge_35_5c__no_airports,days_ge_36_0c__no_airports,days_ge_36_5c__no_airports,days_ge_37_0c__no_airports,days_ge_37_5c__no_airports,days_ge_38_0c__no_airports,days_ge_38_5c__no_airports,days_ge_39_0c__no_airports,days_ge_39_5c__no_airports,days_ge_40_0c__no_airports,days_ge_40_5c__no_airports,days_ge_41_0c__no_airports,days_ge_41_5c__no_airports,days_ge_42_0c__no_airports,days_ge_25_0c__no_cities,days_ge_25_5c__no_cities,days_ge_26_0c__no_cities,days_ge_26_5c__no_cities,days_ge_27_0c__no_cities,days_ge_27_5c__no_cities,days_ge_28_0c__no_cities,days_ge_28_5c__no_cities,days_ge_29_0c__no_cities,days_ge_29_5c__no_cities,days_ge_30_0c__no_cities,days_ge_30_5c__no_cities,days_ge_31_0c__no_cities,days_ge_31_5c__no_cities,days_ge_32_0c__no_cities,days_ge_32_5c__no_cities,days_ge_33_0c__no_cities,days_ge_33_5c__no_cities,days_ge_34_0c__no_cities,days_ge_34_5c__no_cities,days_ge_35_0c__no_cities,days_ge_35_5c__no_cities,days_ge_36_0c__no_cities,days_ge_36_5c__no_cities,days_ge_37_0c__no_cities,days_ge_37_5c__no_cities,days_ge_38_0c__no_cities,days_ge_38_5c__no_cities,days_ge_39_0c__no_cities,days_ge_39_5c__no_cities,days_ge_40_0c__no_cities,days_ge_40_5c__no_cities,days_ge_41_0c__no_cities,days_ge_41_5c__no_cities,days_ge_42_0c__no_cities,days_ge_25_0c__no_airports_no_cities,days_ge_25_5c__no_airports_no_cities,days_ge_26_0c__no_airports_no_cities,days_ge_26_5c__no_airports_no_cities,days_ge_27_0c__no_airports_no_cities,days_ge_27_5c__no_airports_no_cities,days_ge_28_0c__no_airports_no_cities,days_ge_28_5c__no_airports_no_cities,days_ge_29_0c__no_airports_no_cities,days_ge_29_5c__no_airports_no_cities,days_ge_30_0c__no_airports_no_cities,days_ge_30_5c__no_airports_no_cities,days_ge_31_0c__no_airports_no_cities,days_ge_31_5c__no_airports_no_cities,days_ge_32_0c__no_airports_no_cities,days_ge_32_5c__no_airports_no_cities,days_ge_33_0c__no_airports_no_cities,days_ge_33_5c__no_airports_no_cities,days_ge_34_0c__no_airports_no_cities,days_ge_34_5c__no_airports_no_cities,days_ge_35_0c__no_airports_no_cities,days_ge_35_5c__no_airports_no_cities,days_ge_36_0c__no_airports_no_cities,days_ge_36_5c__no_airports_no_cities,days_ge_37_0c__no_airports_no_cities,days_ge_37_5c__no_airports_no_cities,days_ge_38_0c__no_airports_no_cities,days_ge_38_5c__no_airports_no_cities,days_ge_39_0c__no_airports_no_cities,days_ge_39_5c__no_airports_no_cities,days_ge_40_0c__no_airports_no_cities,days_ge_40_5c__no_airports_no_cities,days_ge_41_0c__no_airports_no_cities,days_ge_41_5c__no_airports_no_cities,days_ge_42_0c__no_airports_no_cities
1961,100,90,84,75,63,58,51,46,40,35,29,26,24,22,19,14,11,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,83,74,63,58,51,46,40,35,29,26,24,22,19,14,11,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,81,73,62,58,51,46,39,35,29,26,24,22,19,14,11,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,81,73,62,58,51,46,39,35,29,26,24,22,19,14,11,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,87,82,74,64,59,55,51,49,42,33,27,18,17,14,10,9,9,6,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,87,82,74,64,59,55,51,49,42,33,27,18,17,14,10,9,9,6,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,87,81,72,63,58,53,51,49,42,33,26,18,17,14,10,9,9,6,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,87,81,72,63,58,53,51,49,42,33,26,18,17,14,10,9,9,6,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1963,92,87,79,75,63,57,51,42,40,34,30,21,20,14,12,10,10,9,8,6,6,4,1,1,1,1,0,0,0,0,0,0,0,0,0,92,87,77,75,63,57,51,42,39,33,29,20,19,14,12,10,10,9,8,5,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,92,86,76,75,63,56,51,42,39,33,28,20,19,14,12,10,10,9,8,5,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,92,86,76,75,63,56,51,42,39,33,28,20,19,14,12,10,10,9,8,5,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0
1964,102,95,93,89,80,70,65,57,53,49,42,37,29,27,24,23,21,19,17,14,11,10,8,5,3,0,0,0,0,0,0,0,0,0,0,102,95,93,89,80,70,65,57,53,48,42,37,29,27,24,23,21,19,17,14,11,10,8,5,3,0,0,0,0,0,0,0,0,0,0,102,95,93,88,80,70,64,57,53,48,42,37,29,27,24,23,21,19,17,14,10,9,8,5,3,0,0,0,0,0,0,0,0,0,0,102,95,93,88,80,70,64,57,53,48,42,37,29,27,24,23,21,19,17,14,10,9,8,5,3,0,0,0,0,0,0,0,0,0,0
1965,70,60,57,47,38,33,32,27,21,16,15,10,9,9,7,7,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70,60,57,47,38,33,32,27,21,16,15,10,9,9,7,7,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70,59,56,45,38,33,32,27,21,16,15,10,9,9,7,7,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70,59,56,45,38,33,32,27,21,16,15,10,9,9,7,7,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1966,83,76,70,66,61,55,47,44,38,27,25,20,15,10,7,4,3,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,83,75,70,66,61,55,47,44,38,27,24,20,15,10,7,4,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,82,74,69,66,60,55,47,44,38,26,23,20,14,10,7,4,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,82,74,69,66,60,55,47,44,38,26,23,20,14,10,7,4,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1967,98,94,87,73,63,56,52,47,44,39,27,24,20,19,18,15,12,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,94,87,73,63,56,52,47,44,39,27,24,20,19,18,15,12,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,94,86,70,60,55,52,47,44,38,26,24,20,19,18,15,12,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,94,86,70,60,55,52,47,44,38,26,24,20,19,18,15,12,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,94,86,77,73,67,56,47,40,35,30,23,19,16,15,15,13,10,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,86,77,73,67,56,47,40,35,28,23,19,16,15,15,13,10,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,86,77,73,67,55,47,40,35,29,23,19,16,15,15,13,10,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,86,77,73,67,55,47,40,35,28,23,19,16,15,15,13,10,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,103,94,83,76,68,63,57,53,47,39,30,23,23,20,19,17,16,12,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,94,83,76,68,63,57,53,47,39,30,23,23,20,19,17,16,11,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,93,82,75,68,62,57,52,47,38,29,23,23,20,19,17,16,11,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,93,82,75,68,62,57,52,47,38,29,23,23,20,19,17,16,11,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,96,92,79,75,66,62,56,49,39,35,32,25,14,9,9,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,92,79,75,66,62,56,49,39,35,32,25,14,9,9,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,92,79,75,66,62,55,48,38,34,32,23,13,9,9,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,92,79,75,66,62,55,48,38,34,32,23,13,9,9,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,103,94,85,79,70,66,62,54,49,41,36,32,28,27,23,22,18,15,12,7,6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,103,94,85,79,70,66,62,54,49,41,36,32,28,26,23,22,18,15,12,7,6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,102,91,85,79,70,66,62,54,48,40,36,31,28,26,23,22,18,14,12,7,6,4,4,3,0,0,0,0,0,0,0,0,0,0,0,102,91,85,79,70,66,62,54,48,40,36,31,28,26,23,22,18,14,12,7,6,4,4,3,0,0,0,0,0,0,0,0,0,0,0
1972,68,57,54,47,42,37,33,32,30,28,26,25,22,15,13,13,11,11,9,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,57,54,47,42,37,33,32,30,28,26,25,22,15,13,13,11,11,9,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,56,54,46,40,36,33,32,30,28,26,25,22,15,13,12,11,11,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,56,54,46,40,36,33,32,30,28,26,25,22,15,13,12,11,11,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
