decade,annual_mean_tmax_c,annual_max_tmax_c,days_any_hot_30,days_any_hot_35,mean_hot_area_share_30,max_hot_area_share_30
1950,12.41185990534379,36.133333871761955,28.0,3.2222222222222223,0.008702726773664056,0.5716381222769145
1960,12.20023611250083,35.92000053524971,26.7,2.6,0.00890098055146276,0.5748631159780986
1970,12.362881296617543,35.56000052988529,29.2,3.2,0.01015283088557923,0.575435816603064
1980,12.42461192213636,36.66000054627657,31.9,2.9,0.00881642155881614,0.6628825839278801
1990,13.107550393390884,37.27000055536628,40.2,6.1,0.01675809371837258,0.7484887450915325
2000,13.673195613743683,37.810000563412906,45.2,7.0,0.01986971041008207,0.8603857640617223
2010,13.981188449475354,38.880000579357144,48.3,11.4,0.02805133364705657,0.8938844643548476
2020,14.807581424907845,38.41666701436043,52.666666666666664,10.166666666666666,0.028709520650956052,0.9140294600224914
