year,annual_mean_tmax_c,annual_max_tmax_c,days_any_hot_30,days_any_hot_35,mean_hot_area_share_30,max_hot_area_share_30,mean_hot_area_share_35,max_hot_area_share_35
2005,13.371207950818029,36.200000539422035,47,7,0.017721228596127167,0.8365134671754881,6.654226452804086e-05,0.016929373375366406
2006,13.935290285104077,39.20000058412552,54,13,0.03630473372108616,0.9651927437641723,0.002081614470044617,0.3887008461921354
2007,14.128233841834604,39.00000058114529,37,2,0.011569732247504193,0.938966318234611,0.0009215986205151401,0.23630606714230407
2008,13.717049081749998,36.30000054091215,39,3,0.01814522868101437,0.7271859963497594,7.865334591786869e-06,0.0014518002322880372
2009,13.549937121994677,38.000000566244125,43,2,0.010496987301435775,0.9081715613074498,0.0005882660448074987,0.20473978209169846
2010,11.984195735406797,39.00000058114529,41,9,0.027677771186434257,0.9662159172612135,0.002655720490668703,0.3596869642165809
2011,14.326220676492687,36.700000546872616,43,5,0.010226416438053117,0.6774680603948897,1.5463140373645837e-05,0.0022426856921630442
2012,13.493814660172704,40.300000600516796,44,6,0.019112460835771516,0.9754576627398927,0.0016255175934161482,0.39683645816049995
2013,12.77878569219045,38.60000057518482,36,12,0.027022584064252723,0.9811210663127039,0.0019092015913170035,0.3043747580332946
2014,14.729069543746306,38.10000056773424,35,6,0.01476225326972308,0.8826309385542835,0.00020889255579723817,0.05366130191914164
2015,14.487406809344053,40.50000060349703,58,25,0.045797518472808434,0.9704053979315304,0.006901371529790221,0.6050799181461203
2016,13.873506064403395,37.70000056177378,42,10,0.023772478914707736,0.8368812565676678,0.000612989875856158,0.08002046346994082
2017,13.884933725247159,37.200000554323196,52,6,0.016540999293135232,0.7129611194071125,0.00015883622632703823,0.045381892594436146
2018,15.329010986704885,39.50000058859587,79,18,0.05178645865295667,0.9605856976937116,0.004735599997878648,0.4508738454731486
2019,14.924940601045112,41.20000061392784,53,17,0.04381439534272335,0.9751175266854709,0.005977128795610014,0.6211216193794591
2020,15.029223437917482,38.70000057667494,47,12,0.029305549133332304,0.8689121176926055,0.002613754195978449,0.3166390133289088
2021,13.501076085728645,36.6000005453825,33,4,0.01120709471003013,0.8973010342348321,0.0003165966241714416,0.05574083291853327
2022,15.342100216265806,40.600000604987144,74,13,0.0440222726800933,0.9772330070239478,0.006657741836014949,0.6460511033681765
2023,15.021344538195587,38.70000057667494,61,12,0.02800786112418015,0.9186134616448205,0.0011151719848202116,0.19918146120236713
2024,15.19178600412764,36.6000005453825,54,7,0.031424724139066974,0.8436176096454842,0.0001683982491659421,0.04221835075493612
2025,14.759958267211914,39.29999923706055,47,13,0.028289622119033603,0.9784995298932582,0.0028541502356594713,0.6634008074774626
